City,level,MFs_generation,MW,HW,MFs_emission,ocean,soil,river
Shangqiu City,7,15.59457826,15.2420638,0.352514461,11.64841327,3.825630351,0.779654736,7.043128185
Shanghai,7,67.28656399,65.26831646,2.018247529,25.90574051,7.966341956,7.39157021,10.54782834
Shangrao City,7,15.12893575,14.31095415,0.8179816,11.37838547,3.695378328,0.866091575,6.816915566
Shaoguan City,7,6.577436947,6.356061699,0.221375248,4.923860458,1.61554865,0.34479623,2.963515579
Shaoyang City,7,15.72773147,15.30773043,0.420001035,11.76618018,3.859662989,0.80296692,7.103550272
Shaoxing City,7,10.00617745,9.674070718,0.332106737,6.412769131,2.013864869,0.695135374,3.703768888
Shenzhen City,7,37.54481299,36.26818331,1.276629678,14.47780131,4.470394141,4.143744129,5.86366304
Shenyang City,7,16.79440134,16.26858617,0.52581517,10.74391997,3.371577221,1.160520736,6.211822015
Shiyan City,7,7.245102474,7.006887405,0.238215069,5.413137022,1.770160308,0.380584321,3.262392394
Shijiazhuang City,7,24.26914077,23.76382805,0.505312716,15.5442588,4.898256391,1.639699989,9.006302417
Shizuishan City,7,1.711975173,1.679822181,0.032152992,1.280646136,0.422196228,0.08364283,0.774807078
Shuangyashan City,7,3.048250883,2.960478381,0.087772501,2.279942789,0.747367463,0.156819465,1.375755861
Shuozhou City,7,3.877290559,3.75956498,0.117725579,2.893568684,0.94830395,0.200541599,1.744723135
Siping City,7,6.881046002,6.682255949,0.198790052,5.159422734,1.68963399,0.353207429,3.116581314
Songyuan City,7,5.910126753,5.739245869,0.170880884,4.41577,1.441822306,0.306765231,2.667182462
Suzhou City (Jiangsu),7,26.65864763,26.13139905,0.52724858,12.84416341,3.633390085,2.498813254,6.711960072
Suqian City,7,10.85295408,10.64293809,0.210015989,6.943603884,2.1841709,0.729187651,4.030245333
Suzhou City (Anhui),7,14.09425347,13.67170375,0.422549721,10.55142822,3.449739494,0.730298147,6.371390577
Suihua City,7,11.18054772,10.85451068,0.326037039,8.356655146,2.73959455,0.576627308,5.040433288
Suizhou City,7,4.831808914,4.677442974,0.154365939,3.615675815,1.185373181,0.251771432,2.178531203
Suining City,7,7.630101183,7.436578574,0.193522609,5.706166049,1.865955597,0.386395369,3.453815083
Tacheng Prefecture,7,1.941985435,1.897229876,0.044755559,1.447943912,0.474111265,0.097059689,0.876772958
Taizhou City (Zhejiang),7,13.39345716,12.94379175,0.449665409,8.605762758,3.321512114,0.927118002,4.357132642
Taiyuan City,7,9.885175909,9.578406277,0.306769632,6.331550711,1.991555279,0.686481846,3.653513586
Tai'an City,7,11.9258898,11.63114374,0.294746059,8.907745703,2.93107953,0.601053799,5.375612375
Taizhou City (Jiangsu),7,10.25931042,10.05867787,0.200632555,6.54422195,2.058948855,0.694198233,3.791074861
Tangshan City,7,17.79314474,17.4281311,0.365013634,11.39368558,4.404562755,1.185066001,5.804056822
Tianjin,7,39.61091837,38.74781003,0.863108334,19.30629972,6.7510371,3.672381566,8.88288105
Tianshui City,7,7.153835873,6.960900921,0.192934951,5.356734297,1.753658181,0.364317272,3.238758843
Tieling City,7,6.140140805,5.947222374,0.192918431,4.59626793,1.50995964,0.316793413,2.769514877
Tonghua City,7,4.641962289,4.508052288,0.133910001,3.477364901,1.139702157,0.239837701,2.097825043
Tongliao City,7,6.939374235,6.75948422,0.179890014,4.453685986,1.398414028,0.471363575,2.583908383
Tongchuan City,7,1.654634747,1.609398353,0.045236394,1.242621636,0.407674717,0.083790001,0.751156917
Tongling City,7,3.659214533,3.548411581,0.110802953,2.731866877,0.894509303,0.190916854,1.64644072
Tongren City,7,6.862997585,6.709929862,0.153067722,5.130166487,1.6893764,0.341334539,3.099455547
Turpan City,7,1.351096382,1.319560716,0.031535666,1.009348942,0.331227653,0.067788019,0.610333271
Weihai City,7,6.406161563,6.251379253,0.15478231,4.101648243,1.590917983,0.433500835,2.077229425
Weifang City,7,20.95024685,20.43732342,0.512923427,13.39754224,5.190597184,1.431520823,6.775424235
Weinan City,7,11.21783683,10.90790112,0.309935714,8.357711708,2.736539122,0.58152802,5.039644566
Wenzhou City,7,18.57109424,17.95019166,0.620902578,11.92460095,4.594503246,1.290356233,6.039741472
Wuhai City,7,1.209575566,1.17789494,0.031680626,0.906550323,0.297146974,0.060823413,0.548579936
Ulanqab City,7,4.457552094,4.342099208,0.115452886,3.340170495,1.092751984,0.224853844,2.022564668
¨¹r¨¹mqi City,7,7.883798442,7.703609157,0.180189285,5.031538617,1.583388906,0.535614802,2.912534909
Wuxi City,7,16.32227263,16.00055114,0.321721496,7.916393003,2.251539298,1.510710347,4.154143359
Wuhu City,7,8.699868185,8.439157551,0.260710635,5.582271292,1.750590211,0.596501237,3.235179844
Wuzhong City,7,3.009590437,2.954161402,0.055429035,2.243110701,0.735811371,0.149016913,1.358282418
Wuzhou City,7,6.680125473,6.442984696,0.237140778,5.003540589,1.639313027,0.353644743,3.01058282
Wuhan City,7,28.39743286,27.48180109,0.915631769,13.88402025,3.935329798,2.674170923,7.274519527
Wuwei City,7,3.902675374,3.797396299,0.105279075,2.909806841,0.952116154,0.201108909,1.756581779
Xi'an City,7,25.75067325,25.04420614,0.706467116,12.5662024,3.570604737,2.400753785,6.594843879
Xining City,7,4.466812416,4.358718999,0.108093417,3.330708102,1.090774218,0.225116189,2.014817695
Xishuangbanna Dai Autonomous Prefecture,7,2.569367275,2.494651701,0.074715574,1.921266783,0.630342316,0.132455015,1.158469452
