City,Category,level,MPs_ge,TWP_ge,MFs_ge,PMs_ge,MPs_em,TWP_em,MFs_em,PMs_em
Enshi Tujia and Miao Autonomous Prefecture,Medium-small-cities,9,188.5558871,180.8658361,7.414394098,0.275656901,185.1874614,179.4451854,5.546724181,0.195551811
Fangchenggang City,Medium-small-cities,9,61.87778611,59.65954204,2.127269941,0.090974129,60.88592421,59.23236682,1.589100264,0.064457128
Foshan City,Extra-large-cities,9,1164.089325,1141.567374,21.68874147,0.833209661,1079.17549,1068.271742,10.52222814,0.381519293
Fuzhou City (Fujian),Extra-large-cities,9,518.0684014,497.100643,20.31248759,0.655270862,474.9661323,464.8265866,9.841853979,0.297691781
Fushun City,Medium-small-cities,9,126.3754315,121.6938739,4.500588447,0.180969173,124.324033,120.8411433,3.354698047,0.128191599
Fuzhou City (Jiangxi),Medium-small-cities,9,198.178622,188.711431,9.128883735,0.338307307,194.493122,187.3972779,6.856231721,0.239612342
Fuxin City,Medium-small-cities,9,145.4710716,141.2714958,4.028510995,0.171064853,143.30309,140.1848248,2.997149717,0.121115501
Fuyang City,Medium-small-cities,9,479.8835818,455.3677625,23.48992448,1.025894899,470.0987464,451.901304,17.47034072,0.727101653
Ganzhou City,Largecities,9,530.0181565,508.6657785,20.51670022,0.835677792,514.8975285,501.205724,13.18402395,0.507780602
Guyuan City,Medium-small-cities,9,123.1188203,120.293445,2.706292228,0.119083107,121.5391078,119.4347904,2.020105603,0.084211745
Guang'an City,Medium-small-cities,9,155.0121896,144.6742679,9.935977033,0.401944601,151.450058,143.7758249,7.390012834,0.284220258
Guangyuan City,Medium-small-cities,9,158.7374039,151.9840809,6.501898506,0.251424536,155.8503185,150.8286694,4.843453321,0.17819571
Guangzhou City,Megacities,9,1127.744359,1081.724968,44.4205198,1.598871332,828.95994,811.3860066,16.9875075,0.586425887
Guigang City,Medium-small-cities,9,211.0011749,200.7892008,9.786407009,0.42556703,206.8473294,199.2314362,7.315617511,0.300275676
Guiyang City,Largecities,9,549.7940859,537.9217689,11.41189236,0.460424588,537.3060489,529.7850558,7.242414332,0.278578814
Guilin City,Medium-small-cities,9,319.2927903,307.7089457,11.12591774,0.457926904,313.9578667,305.3434317,8.290951496,0.323483538
Harbin City,Largecities,9,1043.556873,1020.87574,21.8264151,0.854718255,1021.243325,1006.808131,13.9175469,0.517647009
Hami City,Medium-small-cities,9,91.88027278,90.61058392,1.220718202,0.048970662,90.90901161,89.96890647,0.90546196,0.034643172
Haidong City,Medium-small-cities,9,82.92308081,79.04934366,3.742507239,0.131229916,81.36241849,78.47966181,2.789786786,0.092969893
Haikou City,Medium-small-cities,9,342.809249,337.3190002,5.304167822,0.186080919,338.8467188,334.7294149,3.985176563,0.132127313
Handan City,Largecities,9,888.0131072,865.2582076,21.84760086,0.907298734,867.4456905,852.941997,13.95474125,0.548952223
Hanzhong City,Medium-small-cities,9,138.4421855,130.8157604,7.328062517,0.298362535,135.4966187,129.8448529,5.440390157,0.211375681
