City,Category,level,Province,Consumption-yagao,Consumption-myl,Consumption-msg,Consumption-xmn,PCPpercent,PPUW-yagao,PPUW-myl,PPUW-msg,PPUW-xmn,PMs-yagao,PMs-myl,PMs-msg,PMs-xmn,EF-yagao,EF-myl,EF-msg,EF-xmn,TC13,TC14,TC23,TC24,TC25,TC313,TC46,TC47,TC48,TC49,TC514,TC515,TC516,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1116,TC1318,TC1319,TC1617,TC1618,TC1819,TC1820
Diqing Tibetan Autonomous Prefecture,Medium-small-cities,1,Yunnan Province,0.070689961,0.066577803,0.008476082,0.056507211,0.000240552,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Dingxi City,Medium-small-cities,1,Gansu Province,0.499389229,0.470338886,0.059879278,0.399195189,0.000212541,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Dongguan City,Medium-small-cities,1,Guangdong Province,1.495887936,1.408869525,0.179364482,1.19576321,3.45E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.99,0.01,0.35,0.65
Dongying City,Largecities,1,Shandong Province,0.400543604,0.377243283,0.048027191,0.320181274,2.35E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.44,0.56,0.02,0.02,0.96,1,0.02,0.676347368,0.282652632,0.021,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.99,0.01,0.35,0.65
Ordos City,Largecities,1,Inner Mongolia Autonomous Region,0.383619226,0.361303426,0.045997873,0.306652488,7.28E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.44,0.56,0.02,0.02,0.96,1,0.02,0.676347368,0.282652632,0.021,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Ezhou City,Medium-small-cities,1,Hubei Province,0.187275379,0.176381243,0.022455259,0.149701728,9.86E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Enshi Tujia and Miao Autonomous Prefecture,Medium-small-cities,1,Hubei Province,0.599097419,0.564246877,0.071834791,0.47889861,7.32E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Fangchenggang City,Medium-small-cities,1,Guangxi Zhuang Autonomous Region,0.170292116,0.160385926,0.020418881,0.13612587,5.60E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.59,0.41,0.02,0.02,0.96,1,0.02,0.98,0,0,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.99,0.01,0.35,0.65
Foshan City,Extra-large-cities,1,Guangdong Province,1.7253209,1.624955972,0.206874647,1.379164313,4.10E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.29,0.71,0.02,0.02,0.96,1,0.02,0.02,0.93,0.03,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.99,0.01,0.35,0.65
Fuzhou City (Fujian),Extra-large-cities,1,Fujian Province,1.649486801,1.553533276,0.197781757,1.318545049,3.63E-05,0.06,0.04,0.18,0.14,0.2,0.022,0.44,0.071,6,17.8,30,25.04,0.29,0.71,0.02,0.02,0.96,1,0.02,0.02,0.93,0.03,0.522,0.47,0.008,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.99,0.01,0.35,0.65
